Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Số Km đã đi:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Kia Carnival Signature 2.2D - 2023, Xe cũ,1 Tỷ 469 Triệu,TP HCM,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-5437780," *Xe lắp ráp trong nước, màu trắng, máy dầu 2.2 L, số tự động, đã đi 7,500 km ... ",Mã: 5437780,2023.0,Xe đã dùng,"7,500 Km",Lắp ráp trong nước,Van/Minivan,Dầu  2.2 L,Trắng,Nâu,7 chỗ,5 cửa
Hyundai Elantra 2.0 AT - 2021, Xe cũ,535 Triệu,Bắc Ninh,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2021-5422400," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 40,000 km ... ",Mã: 5422400,2021.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Trắng,Kem,5 chỗ,4 cửa
Daewoo Matiz Van 0.8 MT - 2006, Xe cũ,80 Triệu,Đăk Lăk,https://bonbanh.com/xe-daewoo-matiz-van-0.8-mt-2006-5192666," *Xe nhập khẩu, màu bạc, máy xăng 0.8 L, số tay, đã đi 150,000 km ... ",Mã: 5192666,2006.0,Xe đã dùng,"150,000 Km",Nhập khẩu,Van/Minivan,Xăng  0.8 L,Bạc,Đen,2 chỗ,5 cửa
Toyota Camry 3.5Q - 2008, Xe cũ,330 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-camry-3.5q-2008-5290028," *Xe lắp ráp trong nước, màu đen, máy xăng 3.5 L, số tự động ... ",Mã: 5290028,2008.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng  3.5 L,Đen,Đen,5 chỗ,4 cửa
Mercedes Benz E class E300 AMG - 2022, Xe cũ,3 Tỷ ,Nghệ An,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-5446251," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 30 km ... ",Mã: 5446251,2022.0,Xe đã dùng,30 Km,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Trắng,Đen,5 chỗ,4 cửa
Volkswagen T-Cross Luxury 1.0 AT - 2022, Xe cũ,849 Triệu,Hà Nội,https://bonbanh.com/xe-volkswagen-t-cross-luxury-1.0-at-2022-5430585," *Xe nhập khẩu, màu trắng, máy xăng 1.0 L, số tự động, đã đi 10,000 km ... ",Mã: 5430585,2022.0,Xe đã dùng,"10,000 Km",Nhập khẩu,Crossover,Xăng  1.0 L,Trắng,Nhiều màu,5 chỗ,5 cửa
Mitsubishi Xpander 1.5 AT - 2023, Xe mới,588 Triệu,Đồng Nai,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2023-4450141," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 4450141,2023.0,Xe mới,,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
Mitsubishi Xpander Premium 1.5 AT - 2022, Xe cũ,570 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2022-5368075," *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động, đã đi 11,000 km ... ",Mã: 5368075,2022.0,Xe đã dùng,"11,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Đen,Đen,7 chỗ,5 cửa
Ford Ranger Raptor 2.0L 4x4 AT - 2020, Xe cũ,920 Triệu,TP HCM,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-5367166," *Xe nhập khẩu, màu đen, máy dầu 2.0 L, số tự động, đã đi 51,000 km ... ",Mã: 5367166,2020.0,Xe đã dùng,"51,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  2.0 L,Đen,Đen,5 chỗ,4 cửa
Hyundai i10 Grand 1.2 MT Base - 2020, Xe cũ,250 Triệu,Hải Dương,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-base-2020-5369508," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.25 L, số tay, đã đi 80,000 km ... ",Mã: 5369508,2020.0,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.25 L,Trắng,Kem,5 chỗ,4 cửa
