Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:,Số Km đã đi:
Toyota Veloz Cross 1.5 CVT - 2024, Xe mới,633 Triệu,TP HCM,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2024-5385415," *Xe lắp ráp trong nước, màu bạc, máy xăng , số tự động ... ",Mã: 5385415,2024.0,Xe mới,Lắp ráp trong nước,SUV,Xăng,Bạc,Đen,7 chỗ,0 cửa,
Porsche Macan 2.0 - 2022, Xe cũ,3 Tỷ 250 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-macan-2.0-2022-4971872," *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động, đã đi 3,800 km ... ",Mã: 4971872,2022.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Đỏ,5 chỗ,5 cửa,"3,800 Km"
Haval H6 HEV - 2023, Xe mới,886 Triệu,TP HCM,https://bonbanh.com/xe-haval-h6-hev-2023-5202854," *Xe nhập khẩu, màu đen, xe hybrid 1.5 L, số tự động ... ",Mã: 5202854,2023.0,Xe mới,Nhập khẩu,SUV,Hybrid  1.5 L,Đen,Đen,5 chỗ,5 cửa,
LandRover Range Rover Autobiography LWB 3.0 I6 AWD - 2023, Xe cũ,12 Tỷ 399 Triệu,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-awd-2023-5445205," *Xe nhập khẩu, màu trắng, máy xăng 3.0 L, số tự động, đã đi 3,999 km ... ",Mã: 5445205,2023.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.0 L,Trắng,Nâu,5 chỗ,5 cửa,"3,999 Km"
Nissan X trail 2.0 SL 2WD - 2017, Xe cũ,565 Triệu,Hà Nội,https://bonbanh.com/xe-nissan-x_trail-2.0-sl-2wd-2017-5361693," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 56,000 km ... ",Mã: 5361693,2017.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Đen,7 chỗ,5 cửa,"56,000 Km"
Ford Focus Trend 1.5L - 2017, Xe cũ,375 Triệu,Hà Nội,https://bonbanh.com/xe-ford-focus-trend-1.5l-2017-5330560," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, đã đi 70,000 km ... ",Mã: 5330560,2017.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Kem,5 chỗ,4 cửa,"70,000 Km"
LandRover Range Rover Autobiography LWB 5.0 V8 - 2019, Xe cũ,7 Tỷ 200 Triệu,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-v8-2019-5325689," *Xe nhập khẩu, màu đen, máy xăng 5.0 L, số tự động, đã đi 56,000 km ... ",Mã: 5325689,2019.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  5.0 L,Đen,Nâu,4 chỗ,5 cửa,"56,000 Km"
Nissan Sunny XV Premium - 2020, Xe cũ,390 Triệu,Hà Nội,https://bonbanh.com/xe-nissan-sunny-xv-premium-2020-5390061," *Xe lắp ráp trong nước, màu bạc, máy xăng 1.5 L, số tự động, đã đi 21,000 km ... ",Mã: 5390061,2020.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Bạc,Kem,5 chỗ,4 cửa,"21,000 Km"
Maserati Levante 3.0 V6 - 2018, Xe cũ,2 Tỷ 929 Triệu,Hà Nội,https://bonbanh.com/xe-maserati-levante-3.0-v6-2018-5023663," *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động, đã đi 12,874 km ... ",Mã: 5023663,2018.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.0 L,Đen,Nâu,5 chỗ,5 cửa,"12,874 Km"
Mercedes Benz GLB 200 AMG - 2023, Xe mới,2 Tỷ 89 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glb-200-amg-2023-4925370," *Xe nhập khẩu, màu xanh, máy xăng 1.3 L, số tự động ... ",Mã: 4925370,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.3 L,Xanh,Nhiều màu,7 chỗ,5 cửa,
